# run_start: 2026-07-04 08:08:51 | build: Jul  3 2026 21:53:53 | target_hz: 1000
timestamp_ns,dt,raw_baro_alt,gps_alt,ekf_alt,ekf_vel_z,pid_target,pid_out_throttle,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,ekf_roll_deg,ekf_pitch_deg,ekf_yaw_deg,tgt_roll_deg,tgt_pitch_deg,tgt_yaw_deg,pwm_fr,pwm_rl,pwm_fl,pwm_rr
1783120128238324480,0.001,0,0,-0.679149,-2.18072e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128239324416,0.001,-0.680607,-0.680607,-0.679151,-2.17035e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128240324352,0.001,-0.680607,-0.680607,-0.679154,-2.16025e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128241324288,0.001,0,0,-0.679154,-2.15985e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128242324224,0.001,-0.680607,-0.680607,-0.679156,-2.14985e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128243324160,0.001,0,0,-0.679156,-2.14945e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128244324096,0.001,-0.680607,-0.680607,-0.679159,-2.13955e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128245324032,0.001,-0.680607,-0.680607,-0.679161,-2.12989e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128246323968,0.001,0,0,-0.679161,-2.12949e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128247323904,0.001,0,0,-0.679161,-2.1291e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128248323840,0.001,0,0,-0.679161,-2.1287e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128249323776,0.001,0,0,-0.679161,-2.1283e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128250323712,0.001,0,0,-0.679161,-2.1279e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128251323648,0.001,0,0,-0.679161,-2.1275e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128252323584,0.001,0,0,-0.679161,-2.1271e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128253323520,0.001,0,0,-0.679162,-2.1267e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128254323456,0.001,0,0,-0.679162,-2.12631e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
